訂單編號,顧客編號,產品編號,產品名稱,產品類別,單價,數量,下單日期,小計,利潤,成本,明年度預期目標值,姓名,性別,年齡,居住地區,職業類別,年,月,日,季,年齡層
ID00001,AC1702996,F024,運動潮流直筒棉褲男童-灰,童裝,2030.0,3.0,2016-01-02,6090.0,1071.8400000000001,755.16,6455.400000000001,張馥發,Female,40,桃園市,其他,2016.0,1.0,2.0,1.0,40
ID00002,AC1700118,F012,托特包-白,配件,1740.0,1.0,2016-01-02,1740.0,431.52,90.47999999999999,1844.4,曹姿妤,Female,47,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00003,AC1700118,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,1.0,2016-01-02,1800.0,297.0,243.00000000000003,1908.0,曹姿妤,Female,47,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00004,AC1700118,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-02,1800.0,270.0,270.0,1908.0,曹姿妤,Female,47,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00005,AC1700466,F039,12格書櫃-黑,家俱,2500.0,1.0,2016-01-02,2500.0,375.0,375.0,2650.0,陳宏孜,Male,36,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00006,AC1701766,F040,機能運動風褲女童-粉紅,童裝,900.0,1.0,2016-01-02,900.0,158.4,111.6,954.0,陳郁富,Female,30,新北市,其他,2016.0,1.0,2.0,1.0,30
ID00007,AC1700469,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,3.0,2016-01-02,5400.0,891.0000000000005,729.0,5724.0,郭家慧,Male,33,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00008,AC1701866,F012,托特包-白,配件,1740.0,1.0,2016-01-02,1740.0,431.52,90.47999999999999,1844.4,楊健良,Female,36,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00009,AC1701911,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,1.0,2016-01-02,1800.0,297.0,243.00000000000003,1908.0,簡欣希,Female,31,新北市,教育體育文化,2016.0,1.0,2.0,1.0,30
ID00010,AC1700466,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-02,1800.0,270.0,270.0,1908.0,陳宏孜,Male,36,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00011,AC1700467,F039,12格書櫃-黑,家俱,2500.0,1.0,2016-01-02,2500.0,375.0,375.0,2650.0,林巧凌,Female,28,新北市,住宿和餐飲業,2016.0,1.0,2.0,1.0,20
